月份,取值类型,科目编码,科目名称,公司名称,币种,商品大类,平台,行政组织,业务时间,借方发生额,贷方发生额,摘要,凭证号,制单人,来源类型
202601,核算取值,6001.02,主营业务收入_寄售收入,喀什一起玩网络科技有限公司,人民币,网娱,天猫+视频天猫爱奇艺旗舰店,,'2026-01-31 00:00:00,,-205.66,调整商户天猫+视频天猫爱奇艺旗舰店售后收入&调整收入+支付宝（中国）网络技术有限公司+9474033+6%,00079,,手工凭证
202601,核算取值,6401.01.01,主营业务成本_销售成本_销售成本-6%,喀什一起玩网络科技有限公司,人民币,网娱,福禄开放平台,,'2026-01-31 00:00:00,-0.11,,调整外部供货商尾差&调整成本+上海荟分信息科技有限公司+6%,00081,,手工凭证
202601,核算取值,6301.01,营业外收入_财政补贴,新沂福之禄至信息技术有限公司,人民币,,,,'2026-01-23 00:00:00,,1058000.0,2025年11月销售补贴款105.8万,00040
202601,核算取值,6301.01,营业外收入_财政补贴,新沂福之禄至信息技术有限公司,人民币,,,,'2026-01-31 00:00:00,,-1058000.0,冲1月40#2025年11月销售补贴款105.8万,00136,,手工凭证
202601,核算取值,6602.01.01,管理费用_工资性支出_员工工资,新沂福之禄至信息技术有限公司,人民币,,,新沂福之禄至信息技术有限公司本部,'2026-01-31 00:00:00,26892.49,,计提1月人员工资,00139,,手工凭证
202601,核算取值,6602.01.03,管理费用_工资性支出_员工公积金,新沂福之禄至信息技术有限公司,人民币,,,新沂福之禄至信息技术有限公司本部,'2026-01-31 00:00:00,3311.1,,计提1月人员公积金,00139,,手工凭证
202601,核算取值,6602.01.02,管理费用_工资性支出_员工社保,新沂福之禄至信息技术有限公司,人民币,,,新沂福之禄至信息技术有限公司本部,'2026-01-31 00:00:00,2495.26,,计提1月人员社保,00139,,手工凭证
202601,核算取值,6403.01,营业税金及附加_城市维护建设税,新沂福之禄至信息技术有限公司,人民币,,,,'2026-01-31 00:00:00,35929.57,,计提城建税&调整费用+0%,00143,,手工凭证
202601,核算取值,6403.03,营业税金及附加_地方教育费附加,新沂福之禄至信息技术有限公司,人民币,,,,'2026-01-31 00:00:00,14371.83,,计提地方教育费附加税&调整费用+0%,00143,,手工凭证
202601,核算取值,6403.02,营业税金及附加_教育费附加,新沂福之禄至信息技术有限公司,人民币,,,,'2026-01-31 00:00:00,21557.74,,计提教育费附加税&调整费用+0%,00143,,手工凭证
